split,pocket_idx,pocket_id,npz_name,pdb_path,ref_ligand_sdf,source_split
ft,0,2an4-A-rec-3hcc-lt3-lig-it1-it2-tt-docked-0-pocket10,PNMT_HUMAN_1_282_0/2an4_A_rec_3hcc_lt3_lig_it1_it2_tt_docked_0_pocket10.pdb_PNMT_HUMAN_1_282_0/2an4_A_rec_3hcc_lt3_lig_it1_it2_tt_docked_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\2an4-A-rec-3hcc-lt3-lig-it1-it2-tt-docked-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\2an4-A-rec-3hcc-lt3-lig-it1-it2-tt-docked-0-pocket10_2an4-A-rec-3hcc-lt3-lig-it1-it2-tt-docked-0.sdf,val
ft,1,3w0a-A-rec-3az1-ds2-lig-tt-docked-1-pocket10,VDR_HUMAN_119_426_0/3w0a_A_rec_3az1_ds2_lig_tt_docked_1_pocket10.pdb_VDR_HUMAN_119_426_0/3w0a_A_rec_3az1_ds2_lig_tt_docked_1.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3w0a-A-rec-3az1-ds2-lig-tt-docked-1-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3w0a-A-rec-3az1-ds2-lig-tt-docked-1-pocket10_3w0a-A-rec-3az1-ds2-lig-tt-docked-1.sdf,val
ft,2,3m08-A-rec-4fgh-0u6-lig-tt-docked-0-pocket10,DYR_STAAU_2_158_0/3m08_A_rec_4fgh_0u6_lig_tt_docked_0_pocket10.pdb_DYR_STAAU_2_158_0/3m08_A_rec_4fgh_0u6_lig_tt_docked_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3m08-A-rec-4fgh-0u6-lig-tt-docked-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3m08-A-rec-4fgh-0u6-lig-tt-docked-0-pocket10_3m08-A-rec-4fgh-0u6-lig-tt-docked-0.sdf,val
ft,3,1uam-A-rec-4yq5-4g0-lig-tt-min-0-pocket10,TRMD_HAEIN_2_246_0/1uam_A_rec_4yq5_4g0_lig_tt_min_0_pocket10.pdb_TRMD_HAEIN_2_246_0/1uam_A_rec_4yq5_4g0_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1uam-A-rec-4yq5-4g0-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1uam-A-rec-4yq5-4g0-lig-tt-min-0-pocket10_1uam-A-rec-4yq5-4g0-lig-tt-min-0.sdf,val
ft,4,3tk5-B-rec-2cji-gsk-lig-tt-docked-3-pocket10,FA10_HUMAN_126_476_0/3tk5_B_rec_2cji_gsk_lig_tt_docked_3_pocket10.pdb_FA10_HUMAN_126_476_0/3tk5_B_rec_2cji_gsk_lig_tt_docked_3.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3tk5-B-rec-2cji-gsk-lig-tt-docked-3-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3tk5-B-rec-2cji-gsk-lig-tt-docked-3-pocket10_3tk5-B-rec-2cji-gsk-lig-tt-docked-3.sdf,val
ft,5,4heu-A-rec-5b4l-6dw-lig-tt-docked-1-pocket10,PDE10_HUMAN_439_773_0/4heu_A_rec_5b4l_6dw_lig_tt_docked_1_pocket10.pdb_PDE10_HUMAN_439_773_0/4heu_A_rec_5b4l_6dw_lig_tt_docked_1.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4heu-A-rec-5b4l-6dw-lig-tt-docked-1-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4heu-A-rec-5b4l-6dw-lig-tt-docked-1-pocket10_4heu-A-rec-5b4l-6dw-lig-tt-docked-1.sdf,val
ft,6,2r3m-A-rec-4lyn-1yg-lig-tt-min-0-pocket10,CDK2_HUMAN_1_298_0/2r3m_A_rec_4lyn_1yg_lig_tt_min_0_pocket10.pdb_CDK2_HUMAN_1_298_0/2r3m_A_rec_4lyn_1yg_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\2r3m-A-rec-4lyn-1yg-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\2r3m-A-rec-4lyn-1yg-lig-tt-min-0-pocket10_2r3m-A-rec-4lyn-1yg-lig-tt-min-0.sdf,val
ft,7,3lnz-E-rec-4zyi-4th-lig-tt-docked-2-pocket10,MDM2_HUMAN_16_114_0/3lnz_E_rec_4zyi_4th_lig_tt_docked_2_pocket10.pdb_MDM2_HUMAN_16_114_0/3lnz_E_rec_4zyi_4th_lig_tt_docked_2.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3lnz-E-rec-4zyi-4th-lig-tt-docked-2-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3lnz-E-rec-4zyi-4th-lig-tt-docked-2-pocket10_3lnz-E-rec-4zyi-4th-lig-tt-docked-2.sdf,val
ft,8,4fud-A-rec-4fu7-1up-lig-tt-min-0-pocket10,UROK_HUMAN_175_427_0/4fud_A_rec_4fu7_1up_lig_tt_min_0_pocket10.pdb_UROK_HUMAN_175_427_0/4fud_A_rec_4fu7_1up_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4fud-A-rec-4fu7-1up-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\4fud-A-rec-4fu7-1up-lig-tt-min-0-pocket10_4fud-A-rec-4fu7-1up-lig-tt-min-0.sdf,val
ft,9,3g6v-A-rec-2dpi-dcp-lig-tt-docked-3-pocket10,POLI_HUMAN_51_444_0/3g6v_A_rec_2dpi_dcp_lig_tt_docked_3_pocket10.pdb_POLI_HUMAN_51_444_0/3g6v_A_rec_2dpi_dcp_lig_tt_docked_3.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3g6v-A-rec-2dpi-dcp-lig-tt-docked-3-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3g6v-A-rec-2dpi-dcp-lig-tt-docked-3-pocket10_3g6v-A-rec-2dpi-dcp-lig-tt-docked-3.sdf,val
ft,10,3wk0-A-rec-3wk0-o7m-lig-tt-min-0-pocket10,PYRF_METTH_1_228_0/3wk0_A_rec_3wk0_o7m_lig_tt_min_0_pocket10.pdb_PYRF_METTH_1_228_0/3wk0_A_rec_3wk0_o7m_lig_tt_min_0.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3wk0-A-rec-3wk0-o7m-lig-tt-min-0-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\3wk0-A-rec-3wk0-o7m-lig-tt-min-0-pocket10_3wk0-A-rec-3wk0-o7m-lig-tt-min-0.sdf,val
ft,11,1wok-A-rec-5ws0-7u6-lig-tt-docked-6-pocket10,PARP1_HUMAN_775_1012_0/1wok_A_rec_5ws0_7u6_lig_tt_docked_6_pocket10.pdb_PARP1_HUMAN_775_1012_0/1wok_A_rec_5ws0_7u6_lig_tt_docked_6.sdf,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1wok-A-rec-5ws0-7u6-lig-tt-docked-6-pocket10.pdb,C:\Users\speci\OneDrive\Documents\PCMG\main\data\processed_crossdock_noH_full_temp\val\1wok-A-rec-5ws0-7u6-lig-tt-docked-6-pocket10_1wok-A-rec-5ws0-7u6-lig-tt-docked-6.sdf,val
